2972124;Touyre;Touyre;"Le Touvre Riviere,Le Touvre Rivière,Le Touyre Riviere,Le Touyre Rivière,Touvre,Touyre";43.1;1.95;H;STM;FR;FR;B3;;;;0;;392;Europe/Paris;2012-01-18
2972134;Pic de Toutoulia;Pic de Toutoulia;;43.21503;-1.38399;T;PK;FR;;00;;;;0;;882;Europe/Paris;2011-10-09
2972227;Tourneville;Tourneville;;48.95275;-1.52289;P;PPL;FR;;A7;;;;0;;32;Europe/Paris;2011-01-20
2972234;Forêt de Tournehem;Foret de Tournehem;;50.77124;2.04984;V;FRST;FR;;B4;;;;0;;170;Europe/Paris;1994-01-06
2972260;Puig del Torn;Puig del Torn;;42.43581;3.07686;T;PK;FR;"ES,FR";A9;66;661;66016;0;664;643;Europe/Paris;2012-02-27
2972261;Coll del Torn;Coll del Torn;;42.43347;3.0778;T;PASS;FR;"FR,ES";A9;66;661;66016;0;606;604;Europe/Paris;2012-02-28
2972272;Île de la Tour Fondue;Ile de la Tour Fondue;;43.07625;5.78359;T;ISL;FR;;B8;;;;0;;29;Europe/Paris;2011-09-11
2972296;Pointe de la Tour;Pointe de la Tour;;48.71966;-2.9305;T;PT;FR;;A2;;;;0;;17;Europe/Paris;2011-10-09
2972303;Pointe du Touquet;Pointe du Touquet;;50.54533;1.58995;T;PT;FR;;B4;;;;0;;-9999;Europe/Paris;1994-01-06
2972305;Embouchure de la Touques;Embouchure de la Touques;;49.36667;0.06667;H;STMM;FR;;99;;;;0;;-9999;Europe/Paris;1994-01-06
2972317;Toulouges;Toulouges;"Toluges,Toulouges";42.66961;2.83008;P;PPL;FR;;A9;66;662;66213;5820;;60;Europe/Paris;2012-01-18
2972332;Pointe du Toulinguet;Pointe du Toulinguet;;48.27999;-4.63057;T;PT;FR;;A2;;;;0;;-9999;Europe/Paris;2007-08-04
2972333;Chenal du Toulinguet;Chenal du Toulinguet;"Chenal du Toulinguet,Passage du Toulinguet";48.26667;-4.63333;H;CHNM;FR;FR;A2;;;;0;;-9999;Europe/Paris;2012-01-18
2972334;Bancs de Toulinguet;Bancs de Toulinguet;;44.59139;-1.25161;H;SHOL;FR;;97;;;;0;;-9999;Europe/Paris;2011-10-09
2972390;Pic de la Tossa;Pic de la Tossa;"Pic de la Tose,Pic de la Tossa";42.48333;1.81667;T;PK;FR;ES;00;;;;0;;2408;Europe/Paris;2014-03-07
2972412;Torreilles;Torreilles;Torreilles;42.75433;2.99292;P;PPL;FR;;A9;66;662;66212;2260;;9;Europe/Paris;2012-01-18
2972421;Îles du Toro;Iles du Toro;"Ile du Toro,Iles du Toro,Ilot du Toro,Île du Toro,Îles du Toro,Îlot du Toro";41.50771;9.38017;T;ISLS;FR;;A5;;;;0;;0;Europe/Paris;2012-01-18
2972433;Tordères;Torderes;"Torderes,Tordères";42.55904;2.75104;P;PPL;FR;;A9;66;662;66211;157;;241;Europe/Paris;2012-01-18
2972451;Pointe de la Torche;Pointe de la Torche;Pointe de la Torche;47.83333;-4.35;T;PT;FR;;A2;;;;0;;12;Europe/Paris;2012-05-05
2972452;Anse de la Torche;Anse de la Torche;;47.83333;-4.36667;H;BAY;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2972460;Monte Toraggio;Monte Toraggio;"Mont Toraggio,Monte Toraggio";43.96667;7.66667;T;MT;FR;IT;00;;;;0;;1045;Europe/Paris;2014-03-07
2972476;Cabeza de Tonete;Cabeza de Tonete;"Cabeza de Tonete,Cap de Tonete";42.85;0.71667;T;PK;FR;ES;00;;;;0;;1094;Europe/Paris;2014-03-07
2972483;Île Tomé;Ile Tome;;48.83576;-3.40767;T;ISL;FR;;A2;;;;0;;41;Europe/Paris;2011-10-09
2972487;Banc de Tombelaine;Banc de Tombelaine;;48.81667;-1.61667;H;SHOL;FR;;99;;;;0;;-9999;Europe/Paris;1994-01-06
2972488;Tombelaine;Tombelaine;Tombelaine;48.66016;-1.51314;T;RK;FR;;99;;;;0;;20;Europe/Paris;2012-02-02
2972525;Île Téviec;Ile Teviec;"Ile Teviec,Ile Tiviec,Île Tiviec,Île Téviec";47.55519;-3.16396;T;ISL;FR;;A2;;;;0;;2;Europe/Paris;2012-01-18
2972531;Îlot Tisaoson;Ilot Tisaoson;;48.73333;-3.96667;T;ISL;FR;;A2;;;;0;;-9999;Europe/Paris;1994-01-06
2972623;Pointe Ti Denved;Pointe Ti Denved;"Pointe Ti Denved,Pointe Tidevete";48.01667;-4.65;T;PT;FR;FR;A2;;;;0;;-9999;Europe/Paris;2012-01-18
2972626;Îlot Tiboulen;Ilot Tiboulen;"Ilot Tiboulen,Ilot de Tiboulen,Îlot Tiboulen,Îlot de Tiboulen";43.27944;5.28667;T;RK;FR;FR;B8;;;;0;;-9999;Europe/Paris;2012-01-18
2972627;Île Tiboulen;Ile Tiboulen;"Ile Tiboulen,Ile Tiboulen de Maire,Île Tiboulen,Île Tiboulen de Maire";43.21406;5.32692;T;RK;FR;;B8;;;;0;;13;Europe/Paris;2012-01-18
2972629;Île de Tibidy;Ile de Tibidy;;48.30044;-4.24759;T;ISL;FR;;A2;;;;0;;6;Europe/Paris;2008-04-20
2972649;Colle di Thuras;Colle di Thuras;"Col de Thures,Col de Turres,Col de la Civia,Colle di Thuras";44.85;6.91667;T;PASS;FR;IT;00;;;;0;;2713;Europe/Paris;2014-03-07
2972665;Thuir;Thuir;"Thuir,Tjuir,Tuir,Tuïr,di yi,Тюир,Тюїр,蒂伊";42.6329;2.75471;P;PPL;FR;;A9;66;662;66210;7933;;108;Europe/Paris;2012-01-18
2972671;Thuès-Entre-Valls;Thues-Entre-Valls;"Thues,Thues-entre-Vaills,Thuès,Thuès-entre-Vaills,Toes";42.51667;2.23333;P;PPL;FR;;A9;66;663;66209;45;;1331;Europe/Paris;2007-11-21
2972681;Ruisseau le Thouvron;Ruisseau le Thouvron;"Le Thouvron Ruisseau,Ruisseau le Thouvron";45.55;-0.78333;H;STM;FR;FR;B5;;;;0;;47;Europe/Paris;2012-01-18
2972866;Bois de Thiembronne;Bois de Thiembronne;;50.6384;2.01677;V;FRST;FR;;B4;;;;0;;194;Europe/Paris;1994-01-06
2972908;Théza;Theza;"Tesa,Tesà,Theza,Thèza,Théza";42.63797;2.95108;P;PPL;FR;;A9;66;662;66208;1384;;13;Europe/Paris;2012-01-18
2973037;Tévennec;Tevennec;;48.07194;-4.79167;T;ISL;FR;;A2;;;;0;;-9999;Europe/Paris;1996-03-21
2973052;Embouchure de la Têt;Embouchure de la Tet;;42.71398;3.03909;H;STMM;FR;;A9;66;;;0;;-9999;Europe/Paris;2008-09-12
2973053;Têt;Tet;"La Tet Riviere,La Tet Rivière,Rio Tet,Rio Têt,Riu Tet,Tet,la Tet,tai te he,Тет,泰特河";42.71278;2.97772;H;STM;FR;FR;A9;66;;;0;;9;Europe/Paris;2008-09-12
2973055;Rochers de la Teste de Can;Rochers de la Teste de Can;"Les Tetes de Chiens,Les Têtes de Chiens,Rochers de la Teste de Can";43.26667;6.71667;T;RKS;FR;;B8;;;;0;;-9999;Europe/Paris;2012-01-18
2973093;Pointe de Terre Rouge;Pointe de Terre Rouge;;43.03333;6.13333;T;PT;FR;;B8;;;;0;;-9999;Europe/Paris;1994-01-06
2973094;Étang de Terrenzana;Etang de Terrenzana;"Etang de Terranza,Etang de Terrenzana,Terenzana Lagoon,Étang de Terrenzana";42.1564;9.54966;H;LGN;FR;;00;;;;0;;-2;Europe/Paris;2012-01-18
2973104;Île de Terre;Ile de Terre;;49.49369;-1.15416;T;ISL;FR;;99;;;;0;;2;Europe/Paris;2011-10-09
2973107;Terrats;Terrats;Terrats;42.60842;2.77042;P;PPL;FR;;A9;66;662;66207;577;;138;Europe/Paris;2012-01-18
2973120;Ternoise;Ternoise;"La Ternoise Riviere,La Ternoise Rivière,Ternoise";50.4033;1.97135;H;STM;FR;;B4;;;;0;;20;Europe/Paris;2012-01-18
